feature,abs_target_corr,rf_importance,mutual_info,corr_rank,rf_rank,mi_rank,avg_rank,dropped_redundant,dropped_level_feature
rolling_abs_return_20d,0.5864191141020613,0.43217529638522956,0.49251467610387856,1.0,1.0,4.0,2.0,False,False
rolling_volatility_20d,0.5827451322192355,0.018356053187298618,0.5479372064212908,2.0,12.0,2.0,5.333333333333333,True,False
rolling_volatility_5d,0.5617091893067595,0.03384079814373351,0.3202778544127334,3.0,7.0,8.0,6.0,False,False
cpi_pct_change,0.15617918920626092,0.10803911945537611,0.47012866311709356,11.0,3.0,5.0,6.333333333333333,False,False
rolling_squared_return_20d,0.4765206399853985,0.012274189916517554,0.5464361750179716,4.0,16.0,3.0,7.666666666666667,True,False
vix,0.46075894129145384,0.062184605317907066,0.14091623812273113,5.0,4.0,15.0,8.0,False,False
risk_free_rate_decimal,0.1107977196639133,0.11211002551983427,0.29944566022495067,15.0,2.0,9.0,8.666666666666666,True,False
fed_funds_rate_pct,0.11899815845311368,0.023491658439401576,0.35576065580105,14.0,9.0,7.0,10.0,False,False
moving_avg_20d,0.04420722282667509,0.02811721497868523,0.6090660952361349,21.0,8.0,1.0,10.0,False,True
yield_curve_spread,0.06089455931269597,0.038697287256794964,0.18534452915105604,18.0,5.0,11.0,11.333333333333334,False,False
recession_flag,0.37932490271305536,0.03400204814595942,0.04075711205682153,7.0,6.0,21.0,11.333333333333334,False,False
treasury_10yr_pct,0.13007205339167352,0.021014465907064225,0.17982744503303127,13.0,10.0,12.0,11.666666666666666,False,False
rolling_return_20d,0.18014819240821958,0.014582016085347413,0.14554253555758034,10.0,13.0,14.0,12.333333333333334,False,False
price_to_moving_avg_20d,0.20819883582999088,0.013412775192143192,0.15042698904706509,9.0,15.0,13.0,12.333333333333334,False,False
rolling_return_5d,0.135871391225156,0.01886611204902872,0.13559002149480737,12.0,11.0,16.0,13.0,False,False
unemployment_rate_pct,0.09828482133044539,0.013632216831409966,0.2238250432757929,16.0,14.0,10.0,13.333333333333334,False,False
abs_return,0.42723178138041723,0.0009734473827469476,0.12170680577940285,6.0,21.0,17.0,14.666666666666666,False,False
cpi_index,0.002058135307442454,0.008297880401743316,0.4479479185601756,22.0,17.0,6.0,15.0,False,True
squared_return,0.34558378398000356,0.0009528225370724844,0.1108449524890105,8.0,22.0,18.0,16.0,False,False
return_lag_1,0.062423297748492236,0.0015698380894146788,0.10748411897411891,17.0,20.0,19.0,18.666666666666668,False,False
return_lag_5,0.04647138096563822,0.0017822109090750511,0.09657595942932051,20.0,18.0,20.0,19.333333333333332,False,False
is_inverted,0.04964868435643705,0.0016279178682163046,0.019277723887079157,19.0,19.0,22.0,20.0,False,False
