,0
UNH,-0.6139086244722662
XOM,-0.6100656104836877
AMZN,-0.5614526325328222
TLT,-0.48351163820203225
NEE,-0.44969718992135654
JPM,-0.43626496571291107
CAT,-0.43358880095487673
VNQ,-0.4239816958269863
VZ,-0.41207116929631626
AAPL,-0.3851591570125652
MSFT,-0.3714850226673496
KO,-0.3698749791917927
LMT,-0.366742961129477
V,-0.3636493435957002
VXUS,-0.35972359383374397
QQQ,-0.3511872615886298
LLY,-0.3447500809836873
SPY,-0.3371728575547853
PG,-0.2377244655394909
GLD,-0.22002168134714561
AGG,-0.1843295692677661
