Ticker,annualized_return,annualized_volatility
AAPL,0.2873262993805858,0.3079818920280375
AGG,0.019345858145029614,0.058241541315139235
AMZN,0.23028426169171617,0.344154234841158
CAT,0.23596142280483395,0.31804715477387496
GLD,0.1569123256712868,0.15136929581765166
JPM,0.2072169252360152,0.2904649766372216
KO,0.10406558652063905,0.19308737508400042
LLY,0.3831323738590151,0.3133810878961066
LMT,0.1114279395705024,0.24857908701033696
MSFT,0.2684456948814195,0.28353102728764656
NEE,0.15358316124938462,0.2713346490267984
PG,0.10463679607571402,0.19987089839444888
QQQ,0.20658255285984437,0.24054987192766566
SPY,0.15241127094430826,0.1946230316479237
TLT,-0.004559285543880286,0.15751682328922978
UNH,0.11725469775848825,0.3138682045915511
V,0.1818902554898378,0.2588696389909724
VNQ,0.07308969186663881,0.22234245900281313
VXUS,0.08175958235494322,0.17817507888823503
VZ,0.04085528571069184,0.20616338040736984
XOM,0.1356518270460571,0.30155606933057477
